,Name,Transmission type,Variant,Mileage,Owned,Fuel type,City,Price
0,2015 Toyota Etios,Manual,CROSS 1.4 GD Manual,"80,605 km",1st Owner,Diesel,Rohtak,"₹4,01,599"
1,2013 Honda Amaze,Manual,1.5 SMT I DTEC Manual,"82,877 km",3rd Owner,Diesel,Rohtak,"₹2,81,899"
2,2017 Maruti Swift,Manual,VXI Manual,"46,758 km",1st Owner,Petrol,Rohtak,"₹4,78,599"
3,2017 Skoda Rapid,Automatic,1.5 TDI AT STYLE PLUS Automatic,"1,38,467 km",1st Owner,Diesel,Rohtak,"₹6,10,599"
4,2018 Maruti Baleno,Manual,ZETA 1.2 K12 Manual,"9,483 km",2nd Owner,Petrol,Rohtak,"₹6,15,199"
5,2019 Maruti Vitara Brezza,Manual,VDI Manual,"37,696 km",1st Owner,Diesel,Rohtak,"₹7,80,299"
6,2016 Mahindra TUV300,Manual,T8 Manual,"55,912 km",2nd Owner,Diesel,Rohtak,"₹5,06,899"
7,2017 Maruti Swift Dzire,Manual,LDI BS IV Manual,"35,557 km",1st Owner,Diesel,Rohtak,"₹4,38,799"
8,2017 Hyundai Creta,Manual,1.4 E PLUS CRDI Manual,"37,016 km",1st Owner,Diesel,Rohtak,"₹8,18,999"
9,2016 Maruti Swift Dzire,,VDI ABS,"79,048 km",2nd Owner,Diesel,Rohtak,"₹5,29,699"
10,2018 Mahindra Scorpio,Manual,S7 140 BHP 2WD Manual,"1,02,559 km",2nd Owner,Diesel,Rohtak,"₹9,20,899"
11,2017 Maruti Ciaz,Manual,ZDI+ SHVS Manual,"97,925 km",1st Owner,Diesel,Rohtak,"₹5,69,399"
12,2020 Hyundai Verna,Manual,S PETROL MT Manual,"19,158 km",1st Owner,Petrol,Rohtak,"₹9,24,099"
13,2015 Hyundai i20 Active,Manual,1.2 S Manual,"67,263 km",1st Owner,Petrol,Rohtak,"₹4,95,899"
14,2013 Maruti Alto K10,Manual,VXI Manual,"16,372 km",1st Owner,Petrol,Rohtak,"₹2,64,599"
15,2020 KIA SELTOS,Manual,HTK 1.5 PETROL Manual,"5,822 km",2nd Owner,Petrol,Rohtak,"₹11,59,099"
16,2013 Toyota Innova,Manual,2.5 GX 7 STR BS IV Manual,"74,083 km",1st Owner,Diesel,Rohtak,"₹5,86,799"
17,2012 Maruti Swift Dzire,Manual,VXI 1.2 BS IV Manual,"54,692 km",2nd Owner,Petrol,Rohtak,"₹3,86,599"
18,2016 Maruti Ertiga,Manual,VDI SHVS Manual,"94,362 km",1st Owner,Diesel,Rohtak,"₹5,81,399"
19,2019 Mahindra Thar,Manual,CRDE 4X4 BS IV Manual,"13,016 km",1st Owner,Diesel,Rohtak,"₹9,55,099"
20,2016 Maruti S Cross,Manual,ZETA 1.3 Manual,"67,158 km",1st Owner,Diesel,Rohtak,"₹6,15,899"
21,2016 Ford Figo Aspire,Manual,1.2 TREND PETROL Manual,"31,995 km",1st Owner,Petrol,Rohtak,"₹4,49,199"
22,2013 Toyota Innova,Manual,2.5 GX 7 STR BS IV Manual,"1,38,351 km",2nd Owner,Diesel,Rohtak,"₹5,47,599"
23,2015 Maruti Swift,Manual,VDI ABS Manual,"56,552 km",1st Owner,Diesel,Rohtak,"₹4,89,899"
24,2011 Maruti Alto K10,Manual,VXI Manual,"64,499 km",2nd Owner,Petrol,Rohtak,"₹1,76,499"
25,2014 Toyota Fortuner,Manual,3.0 MT 4X2 Manual,"64,625 km",1st Owner,Diesel,Rohtak,"₹13,51,399"
26,2017 Maruti Swift,Manual,VXI Manual,"47,863 km",1st Owner,Petrol,Rohtak,"₹4,54,699"
27,2016 Maruti Swift,Manual,VDI OPT Manual,"50,453 km",1st Owner,Diesel,Rohtak,"₹4,77,399"
28,2016 Hyundai Verna,Automatic,FLUIDIC 1.6 VTVT SX AT Automatic,"27,261 km",1st Owner,Petrol,Rohtak,"₹6,35,099"
29,2017 Maruti Dzire,Manual,VDI Manual,"1,09,291 km",1st Owner,Diesel,Rohtak,"₹5,53,999"
30,2018 Ford Figo Aspire,Manual,1.2 TITANIUM PETROL Manual,"28,419 km",1st Owner,Petrol,Rohtak,"₹5,32,299"
31,2016 Maruti Ciaz,Manual,VXI OPT Manual,"76,459 km",2nd Owner,Petrol,Rohtak,"₹5,59,999"
32,2016 Maruti Vitara Brezza,Manual,ZDI Manual,"1,05,991 km",1st Owner,Diesel,Rohtak,"₹6,33,799"
33,2012 Toyota Corolla Altis,Manual,D 4D J Manual,"90,080 km",1st Owner,Diesel,Rohtak,"₹4,91,899"
34,2015 Maruti Swift,Manual,VDI ABS Manual,"41,525 km",1st Owner,Diesel,Rohtak,"₹5,21,299"
35,2014 Ford Ecosport,Manual,1.5 TREND TDCI Manual,"52,406 km",1st Owner,Diesel,Rohtak,"₹4,97,399"
36,2016 Maruti Ciaz,Manual,VXI PLUS Manual,"63,494 km",1st Owner,Petrol,Rohtak,"₹6,95,399"
37,2015 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"22,140 km",1st Owner,Petrol,Rohtak,"₹5,24,199"
38,2020 Maruti New Wagon-R,Manual,LXI 1.0 L Manual,"6,879 km",1st Owner,Petrol,Rohtak,"₹4,98,799"
39,2018 Maruti Wagon R 1.0,Manual,VXI Manual,"36,699 km",1st Owner,Petrol,Rohtak,"₹3,69,499"
40,2015 Maruti Alto K10,Manual,VXI Manual,"61,716 km",1st Owner,Petrol,Rohtak,"₹2,87,099"
41,2014 Hyundai Verna,Manual,FLUIDIC 1.4 CRDI CX Manual,"74,650 km",1st Owner,Diesel,Rohtak,"₹5,63,999"
42,2015 Honda Amaze,Manual,1.2 SMT I VTEC Manual,"62,462 km",1st Owner,Petrol,Rohtak,"₹4,91,599"
43,2018 Maruti Eeco,Manual,7 STR Manual,"72,019 km",1st Owner,Petrol,Rohtak,"₹3,39,699"
44,2018 Maruti Swift,Manual,ZDI + Manual,"21,216 km",1st Owner,Diesel,Rohtak,"₹6,38,199"
45,2015 Hyundai Elite i20,Manual,1.4 CRDI ASTA (O) Manual,"71,861 km",2nd Owner,Diesel,Rohtak,"₹5,55,999"
46,2017 Maruti Baleno,Automatic,DELTA 1.2 K12 AMT Automatic,"23,537 km",1st Owner,Petrol,Rohtak,"₹6,32,899"
47,2018 Ford Ecosport,Manual,1.5TITANIUM TDCI Manual,"21,676 km",1st Owner,Diesel,Rohtak,"₹7,81,599"
48,2018 Maruti Dzire,Manual,VDI Manual,"29,735 km",1st Owner,Diesel,Rohtak,"₹6,47,099"
49,2015 Toyota Fortuner,Automatic,3.0 AT 4X2 Automatic,"1,15,431 km",1st Owner,Diesel,Rohtak,"₹16,37,699"
50,2019 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"13,973 km",1st Owner,Petrol,Rohtak,"₹6,40,599"
51,2018 Maruti Baleno,Manual,ZETA 1.2 K12 Manual,"43,051 km",2nd Owner,Petrol,Rohtak,"₹5,90,999"
52,2014 Toyota Corolla Altis,Manual,D 4D J Manual,"1,03,033 km",1st Owner,Diesel,Rohtak,"₹7,41,199"
53,2015 Maruti Swift,Manual,VDI ABS Manual,"37,925 km",1st Owner,Diesel,Rohtak,"₹4,28,999"
54,2020 MG HECTOR,Manual,SHARP HYBIRD PETROL MT Manual,"3,094 km",1st Owner,Petrol,Rohtak,"₹17,37,599"
55,2018 Maruti Vitara Brezza,Manual,VDI OPT Manual,"71,192 km",1st Owner,Diesel,Rohtak,"₹7,20,399"
56,2016 Audi A3,Automatic,40 TFSI PREMIUM Automatic,"76,786 km",1st Owner,Petrol,Rohtak,"₹18,21,199"
57,2019 Maruti Vitara Brezza,Manual,VDI Manual,"38,597 km",1st Owner,Diesel,Rohtak,"₹7,62,899"
58,2010 Hyundai i10,Manual,ERA Manual,"80,574 km",3rd Owner,Petrol,Rohtak,"₹1,95,299"
59,2018 Maruti Alto 800,Manual,LXI Manual,"33,865 km",1st Owner,Petrol,Rohtak,"₹2,83,599"
60,2019 Maruti Vitara Brezza,Manual,VDI Manual,"25,374 km",1st Owner,Diesel,Rohtak,"₹8,09,599"
61,2013 Maruti Ertiga,Manual,VDI ABS Manual,"27,420 km",1st Owner,Diesel,Rohtak,"₹5,41,699"
62,2017 Hyundai Creta,Automatic,1.6 CRDI SX PLUS AUTO Automatic,"82,907 km",1st Owner,Diesel,Rohtak,"₹10,82,399"
63,2018 Hyundai Tucson New,Automatic,2WD AT GL DIESEL Automatic,"58,368 km",1st Owner,Diesel,Rohtak,"₹19,87,099"
64,2019 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"20,976 km",1st Owner,Petrol,Rohtak,"₹7,29,999"
65,2020 Maruti New Wagon-R,Manual,VXI 1.2L Manual,"8,495 km",2nd Owner,Petrol,Rohtak,"₹5,14,799"
66,2013 Ford Ecosport,Manual,1.5 AMBIENTE TDCI Manual,"1,13,857 km",1st Owner,Diesel,Rohtak,"₹3,93,799"
67,2016 Maruti Vitara Brezza,Manual,VDI OPT Manual,"98,517 km",1st Owner,Diesel,Rohtak,"₹6,85,499"
68,2016 Maruti Vitara Brezza,Manual,ZDI Manual,"70,555 km",2nd Owner,Diesel,Rohtak,"₹6,57,499"
69,2013 Toyota Corolla Altis,Manual,D 4D JS Manual,"92,391 km",1st Owner,Diesel,Rohtak,"₹4,89,099"
70,2012 Hyundai i20,Manual,SPORTZ 1.4 CRDI Manual,"1,20,951 km",1st Owner,Diesel,Rohtak,"₹3,50,499"
71,2015 Maruti Ciaz,Manual,VDI+ SHVS Manual,"1,21,025 km",2nd Owner,Diesel,Rohtak,"₹5,04,999"
72,2016 Maruti Vitara Brezza,Manual,ZDI Manual,"54,460 km",1st Owner,Diesel,Rohtak,"₹6,80,499"
73,2016 Skoda Superb,Automatic,1.8 TSI LK AT Automatic,"38,718 km",3rd Owner,Petrol,Rohtak,"₹16,42,399"
74,2020 Maruti S PRESSO,Manual,VXI Manual,"19,386 km",1st Owner,Petrol,Rohtak,"₹4,04,299"
75,2017 Maruti Baleno,Manual,ALPHA DDIS 190 Manual,"76,285 km",2nd Owner,Diesel,Rohtak,"₹5,30,699"
76,2018 Maruti Vitara Brezza,Manual,VDI OPT Manual,"60,395 km",1st Owner,Diesel,Rohtak,"₹6,83,399"
77,2017 Maruti Baleno,Manual,ZETA DDIS 190 Manual,"69,954 km",1st Owner,Diesel,Rohtak,"₹5,21,399"
78,2018 Maruti Vitara Brezza,Manual,VDI Manual,"27,113 km",1st Owner,Diesel,Rohtak,"₹7,23,599"
79,2015 Maruti Swift,Manual,VXI Manual,"41,046 km",2nd Owner,Petrol,Rohtak,"₹3,98,199"
80,2017 Maruti Vitara Brezza,Manual,VDI OPT Manual,"34,749 km",1st Owner,Diesel,Rohtak,"₹6,89,699"
81,2018 Datsun Redi Go,,1.0 S AT,"21,607 km",1st Owner,Petrol,Rohtak,"₹3,49,099"
82,2019 Maruti Alto,Manual,VXI Manual,"13,299 km",1st Owner,Petrol,Rohtak,"₹3,58,999"
83,2013 Maruti Swift,Manual,VDI Manual,"76,608 km",1st Owner,Diesel,Rohtak,"₹3,54,799"
